STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Andaman And Nicobar Islands,N & M Andaman,District Summary,2964.5,0.0,58040.0,286106.0,344146.0,16167.74,1616.78,14550.96,260.27,48.18,0.8,309.25,2.12,269.19,14232.79,,
Andaman And Nicobar Islands,Nicobar,District Summary,2805.2,0.0,38075.0,156091.0,194166.0,11360.78,1136.09,10224.69,90.82,0.94,0.25,91.97,0.9,90.68,9819.29,,
Andaman And Nicobar Islands,South Andaman,District Summary,3015.7,0.0,31524.0,215321.0,246845.0,10797.72,1079.76,9717.96,320.65,13.61,10.65,344.9,3.55,331.62,9362.08,,
Andhra Pradesh,Alluri Sitharama Raju,District Summary,1269.64,0.0,639234.68,586107.71,1225342.39,105489.92,5274.94,100214.98,1620.46,0.0,571.9,2192.75,2.88,1991.96,97951.9,,
Andhra Pradesh,Anakapalli,District Summary,1182.6,70958.5,346201.66,83043.41,429245.07,77425.04,3871.52,73553.52,4863.49,484.0,15997.94,21345.52,29.15,6816.58,50853.78,,
Andhra Pradesh,Ananthapuramu,District Summary,518.88,243887.0,946479.33,97831.67,1044311.0,124046.54,6202.42,117844.11,3676.5,727.29,36968.8,41372.76,35.11,4765.42,76916.47,,
Andhra Pradesh,Annamayya,District Summary,746.1,112199.0,666066.0,128462.0,794528.0,87981.57,4399.2,83582.36,3665.64,137.75,30553.29,34356.66,41.14,4838.38,48488.91,,
Andhra Pradesh,Bapatla,District Summary,871.92,238962.0,380118.0,2767.0,382885.0,103482.92,5174.22,98308.7,2649.15,59.59,15501.57,18210.26,26.54,2697.87,50041.14,,
Andhra Pradesh,Chittoor,District Summary,905.84,3079.0,600450.95,85448.05,685899.0,86725.96,4336.53,82389.44,4285.08,1389.98,41529.34,47204.3,57.21,5924.5,35172.28,,
Andhra Pradesh,East Godavari,District Summary,1144.03,127679.43,254552.81,3081.92,257634.73,110086.66,5504.46,104582.2,2236.7,1216.72,31755.44,35208.88,33.66,2529.16,70306.65,,
Andhra Pradesh,Eluru,District Summary,1041.25,135041.41,649190.07,10631.8,659821.87,186439.22,9322.14,177117.14,10196.62,516.96,37031.2,47744.44,31.16,11722.64,107873.1,,
Andhra Pradesh,Guntur,District Summary,885.95,155474.66,242332.86,2971.0,245303.86,66022.3,3301.1,62721.2,2577.71,224.22,7898.14,10700.03,20.78,2926.49,40267.75,,
Andhra Pradesh,Kakinada,District Summary,1128.67,169714.77,288520.5,13458.87,301979.37,142987.34,7149.62,135938.24,2141.4,4177.47,14942.56,21261.29,16.44,2095.86,90045.95,,
Andhra Pradesh,Konaseema,District Summary,1293.96,132007.21,207995.28,100.62,208095.9,142820.94,7141.21,135679.73,1301.36,54.46,9363.56,10719.47,10.22,1447.64,93640.88,,
Andhra Pradesh,Krishna,District Summary,1053.84,193506.0,388056.0,0.0,388056.0,222987.31,11149.5,211837.8,2255.28,1023.24,45010.16,48288.52,30.83,2765.38,106367.58,,
Andhra Pradesh,Kurnool,District Summary,610.15,208257.0,752247.0,45494.0,797741.0,67763.8,3388.4,64375.4,5559.81,71.27,14034.0,19665.24,30.54,6010.54,44607.54,,
Andhra Pradesh,Nandyal,District Summary,716.04,367930.0,706182.0,262433.0,968615.0,94298.66,4715.1,89583.56,505.41,128.4,12189.72,12822.94,14.56,505.86,76760.62,,
Andhra Pradesh,Ntr,District Summary,1032.76,289249.6,306318.6,11805.4,318124.0,68781.92,3439.14,65342.78,2436.12,1176.12,20717.34,24329.56,37.35,2513.9,41119.99,,
